DEPTID,DEPARTMENT,01.05.14,01.12.14,01.19.14,01.26.14,02.02.14,02.09.14,02.16.14,02.23.14,03.02.14,03.09.14,03.16.14,03.23.14,03.30.14,04.06.14,04.13.14,04.20.14,04.27.14,05.04.14,05.11.14,05.18.14,05.25.14,06.01.14,06.08.14,06.15.14,06.22.14,06.29.14,07.06.14,07.13.14,07.20.14,07.27.14,08.03.14,08.10.14,08.17.14,08.24.14,09.00.14,09.07.14,09.14.14,09.21.14,09.28.14,10.05.14,10.12.14,10.19.14,10.26.14,11.02.14,11.09.14,11.16.14,11.23.14,12.00.14,12.07.14,12.14.14,12.21.14,12.28.14,01.04.15,01.11.15,01.18.15,01.25.15,02.01.15,02.08.15,02.15.15,02.22.15,03.01.15,03.08.15,03.15.15,03.22.15,03.29.15,04.05.15,04.12.15,04.19.15,04.26.15,05.03.15,05.10.15,05.17.15,05.24.15,06.00.15,06.07.15,06.14.15,06.21.15,06.28.15,07.05.15,07.12.15,07.19.15,07.26.15,08.02.15,08.09.15,08.16.15,08.23.15,08.30.15,09.06.15,09.13.15,09.20.15,09.27.15,10.04.15,10.11.15,10.18.15,10.25.15,11.01.15,11.08.15,11.15.15,11.22.15,11.29.15,12.06.15,12.13.15,12.20.15,12.27.15,01.03.16,01.10.16,01.17.16,01.24.16,02.00.16,02.07.16,02.14.16,02.21.16,02.28.16,03.06.16,03.13.16,03.20.16,03.27.16,04.03.16,04.10.16,04.17.16,04.24.16,05.01.16,05.08.16,05.15.16,05.22.16,05.29.16,06.05.16,06.12.16,06.19.16,06.26.16,07.03.16,07.10.16,07.17.16,07.24.16,08.00.16,08.07.16,08.14.16,08.21.16,08.28.16,09.04.16,09.11.16,09.18.16,09.25.16
11,BOGOT,13.29855382,12.9335302342857,13.2824569928571,13.3634242685714,13.0484266357143,13.30956474,13.3965681514286,13.5566345171429,13.3071942614286,13.5950884342857,14.2818287628571,13.8467014771429,13.72311001,13.9267325171429,13.3734491557143,13.7574074171429,14.4601791714286,13.7363897771429,13.54523903,13.7132689185714,13.3966368385714,14.1386081271429,13.6435027328571,12.3372997142857,12.8533265271429,13.3706165414286,12.6670911442857,12.7874407528571,13.0301216657143,12.99458147,12.9538654457143,12.9062742214286,12.5432634728571,12.5749351671429,12.47410859,12.6487557114286,13.1544162028571,13.2748415957143,12.4398373042857,12.5510643742857,13.4056772671429,13.0397029085714,13.3261283428571,13.7190504557143,13.4753270085714,13.0750371457143,13.2392890228571,13.3959948,13.2710510371429,13.3912482414286,13.1523048285714,12.1629562957143,11.4382723942857,13.4094586071429,13.3366667971429,13.1218609714286,12.9134801257143,13.8368203571429,13.52870013,12.959965,13.8670921428571,14.4758976842857,13.7825907342857,13.7003852957143,13.9889777942857,13.8883777514286,14.0569960414286,13.4860451914286,13.9304986357143,14.12716909,14.24735749,14.09736316,13.70817778,13.5792075642857,13.36833214,13.1910495628571,13.2070827842857,12.9779613457143,13.7085659585714,13.7642586614286,13.2809851971429,13.21824976,14.0371544357143,13.2897768642857,13.6292563871429,13.4641758757143,13.1463846257143,13.8132851771429,13.3621553642857,13.4632806785714,13.8685861428571,13.5809383985714,14.2331794042857,13.3081728257143,13.3588046442857,13.7496016071429,13.83995909,14.33006782,14.1712866957143,13.6231451185714,12.6845188671429,13.6548189214286,13.7551040042857,14.0887234814286,14.7535774157143,13.57065441,13.7091795828571,13.82921241,14.0278979514286,14.6412736714286,15.4303204814286,15.1780502657143,16.0391323971429,15.6506501242857,15.70900435,15.2136230014286,15.53893217,14.9861476471429,15.3160727528571,14.9687559285714,15.2242693285714,14.0774748385714,13.83912049,14.4444459828571,14.6303198057143,13.8750255257143,12.9648440557143,13.2866386685714,13.4288938814286,13.2828776342857,13.7141174157143,13.4984696928571,13.1048048742857,12.8228478571429,13.5306111457143,13.9939485471429,13.3443426,13.0474467371429,13.2704087514286,13.6504380042857,13.2125427585714,13.3454473628571,13.4622084557143
13,BOLVAR,27.05559111,27.6782452942857,27.7664615028571,27.5554625414286,27.85208577,28.36731962,27.8152432842857,27.7101645271429,27.5246600171429,28.3040577885714,28.0672447928571,28.8893911214286,28.9073277828571,29.8326666857143,28.8707166857143,28.83604367,29.0150872642857,28.6363102614286,28.7703763342857,28.7258737285714,28.3791461114286,29.12527395,28.87044594,29.21608316,28.7641148057143,29.0724926842857,29.3387367371429,29.7640945442857,29.7838059757143,28.9085475014286,28.5490931471429,28.5562954114286,28.3406339,27.7795493828571,28.6745976214286,28.3408964671429,27.5383850457143,27.5954930042857,29.0614407514286,27.7381252757143,27.42089664,27.9167161457143,27.68273686,28.4088631257143,27.34879221,28.2110156614286,28.3255069,28.05698891,27.5390253085714,27.5614599685714,28.2595269214286,28.43623903,27.5664620428571,27.9401333985714,26.99672651,27.5876287885714,28.0123286071429,27.7256121085714,28.38090253,28.6574069785714,28.4042208585714,28.6171900442857,27.6540565585714,28.09666699,28.3226742242857,28.8113459457143,28.7554080028571,28.8341240542857,29.5615631128571,29.7716117928571,29.6168696471429,28.7084917,28.3430419371429,28.9437632657143,28.4480962085714,29.8795212657143,30.1834110442857,29.7046745471429,28.7711125971429,28.5164200342857,28.5250876957143,29.2538679242857,29.78074281,28.9303589814286,29.0176085814286,28.5147678885714,29.2656961485714,29.0240475457143,29.31788092,28.75395725,29.1064370628571,29.1950022414286,27.9639508442857,28.74482147,28.1829626085714,27.9279224385714,28.7575788328571,27.42146326,28.5847364071429,28.9995017142857,28.9936048514286,28.6476977114286,29.2546784971429,28.7864518842857,28.56967636,28.1183793771429,28.1478714528571,28.3360415485714,28.12171348,28.9301514285714,28.96871673,28.7833319842857,28.9933612642857,28.9407080957143,29.1465651728571,29.8959514228571,29.5469688271429,29.42170421,29.0333920357143,29.7902720742857,28.65401525,28.74555252,28.8830350628571,30.1867107585714,29.1772191814286,28.2044468971429,28.82580678,28.5376001528571,28.2112175857143,29.2531800314286,29.0069303142857,28.6123128385714,28.3695697,28.55225073,28.5160389742857,28.8949177757143,29.0280703042857,28.6370479785714,27.5357523885714,28.2976440657143,27.95793123,28.3251422371429,28.2905713671429
15,BOYAC,14.3047125214286,14.5880857314286,14.8447012928571,14.8078098257143,14.5040061657143,14.9279208885714,15.03002246,15.1827462071429,14.5477551657143,14.9193092157143,15.7712723185714,15.4230392971429,15.1884415128571,15.7658431671429,14.8006323471429,15.0671789871429,15.6869856042857,14.5890826385714,14.4898014085714,14.8182060485714,14.4483312928571,15.0572033957143,14.4649965585714,13.3470512414286,13.6698390928571,14.4440629514286,13.7082851071429,13.6654376614286,14.1102000185714,14.0881768128571,13.9323093928571,13.8529779714286,13.6337240285714,13.7222798657143,13.8346238014286,14.0011545328571,14.1618436028571,14.4068079514286,13.9057029657143,13.62215113,14.5454318185714,14.2667824514286,14.3658087542857,15.1061998528571,14.5938578585714,14.2017714528571,14.8434447414286,14.7873829257143,14.27728256,14.6299267085714,14.5200058628571,13.7700909985714,13.2514131557143,15.2366102857143,14.5858562757143,14.7651039771429,14.4107229471429,14.8696363128571,15.0505969942857,14.6031534028571,15.1917700242857,16.1224805042857,15.1639787757143,15.2420477442857,15.2503956385714,15.08138993,15.0414322385714,14.7651248914286,15.4310507428571,15.4041426385714,15.58255332,15.1886837957143,14.8086777785714,14.4729763228571,14.3228267328571,14.0281186714286,14.0070561671429,13.9685036728571,14.7609820914286,14.4230468142857,14.0273428871429,14.3429906514286,15.0874577757143,14.4539445414286,14.5616752028571,14.4911569457143,14.58341335,15.1656369628571,14.6830938957143,14.9689451442857,15.2451745871429,15.4263075657143,15.5428259728571,15.12505972,14.7105906028571,14.81506974,15.5174578357143,15.4112041942857,15.6474082114286,14.9376469071429,14.3372392328571,15.1336918142857,15.1560318671429,15.5706293071429,16.2139289742857,15.2570081114286,15.2700772,15.8369934542857,15.9675249342857,16.4764123271429,17.0878060728571,16.7400152714286,17.9331068514286,17.2443915671429,17.3189562985714,17.3215358128571,17.0528040771429,15.9329701271429,16.4474653785714,16.4315327214286,16.2335970814286,14.8190888742857,14.8017123914286,15.54207401,15.8214284114286,14.8278168885714,13.9533552228571,14.1647488242857,14.1277319357143,14.2985689585714,14.7501179,14.3398443185714,14.2266652542857,13.7915823271429,14.5133257957143,15.08844261,14.4635317985714,13.8828079885714,14.15458907,14.5075810257143,14.0363630514286,14.7056659242857,14.5655856028571
17,CALDAS,18.9659460842857,19.9879685928571,20.0595568042857,19.7385604971429,19.5301828828571,19.9623373171429,19.9831931357143,19.7872627085714,19.0251716257143,19.5819995228571,19.7986211814286,20.2927696042857,20.1476238828571,20.2126527514286,19.5132175214286,19.4728173157143,20.0889102971429,19.5466520485714,19.8828147385714,19.8800141042857,19.5809950285714,20.4499381214286,20.31453035,19.8082240757143,19.5359460271429,20.3596421271429,20.29683379,20.607571,20.7131541457143,20.5252058828571,20.1058944585714,20.0284092628571,20.05504625,19.7519557571429,20.0099532614286,19.7252223714286,19.4894424314286,19.6634558928571,19.7888059671429,18.8634953928571,19.54835735,19.2370863614286,19.1309580814286,19.6932146542857,19.0282071142857,19.1316492285714,19.4715180057143,19.94896983,19.0593119,19.3478962014286,20.0284715757143,19.9560297528571,19.6378315657143,20.2891901814286,19.33803538,19.8601888714286,19.6485544428571,19.8071155871429,20.6833313371429,20.1809048571429,20.1629014828571,20.9615360085714,19.7341338214286,19.9739434028571,19.7497999942857,19.7859656171429,19.7308206442857,19.6418509142857,20.1534785342857,20.5890263357143,20.9128661414286,20.55036603,19.8129555885714,20.3035975271429,19.9180972,20.7092310657143,21.05543432,20.8324623757143,20.74141004,20.7213110814286,20.2257411485714,20.5140561485714,21.3947622442857,20.3181309414286,21.17094123,20.8108404914286,20.7772413614286,20.5267412128571,20.7630065385714,20.8782438171429,20.6916408185714,20.4968473,19.8891277471429,19.9751950571429,19.50283167,19.38388346,20.0262594585714,19.7643506814286,20.0668346771429,20.3215410857143,20.1935885628571,20.1707593528571,20.8891243857143,21.3118076814286,21.1296377785714,20.7077918485714,21.1632319942857,21.2014345071429,21.0654779942857,21.3630179128571,22.2098320171429,21.1231338557143,21.7651398085714,21.2593690828571,21.37630951,21.74094343,21.2464543114286,20.5419095214286,20.5249777842857,20.9820246885714,20.32426045,20.1854505714286,20.0522208171429,21.3561686142857,20.7649735685714,20.0448975628571,19.82462872,20.1607331714286,20.1245640571429,20.3502297157143,20.5424034885714,20.17788263,19.9094687228571,20.0648925485714,20.9038206814286,20.9678732328571,20.8702863757143,20.5160702328571,19.75205072,20.1115890614286,19.6805955442857,20.0779827114286,19.9355730742857
18,CAQUET,23.8605719957143,24.9885560585714,25.71737307,25.75799601,25.0185547385714,25.26513656,25.5328413857143,24.6963685928571,23.9478642657143,24.9804668142857,24.03124206,24.7791188685714,24.9441840614286,24.9460831157143,24.51073916,24.4169730385714,24.7123304942857,24.5980317514286,24.6905081514286,24.7295340614286,23.9398976471429,24.3723858485714,24.2045856342857,23.55569199,23.5179409528571,23.5843518628571,23.1128109585714,24.1336143271429,24.0327976842857,23.6729802957143,24.15194863,23.6828206271429,23.2779883742857,23.66966157,24.4437171628571,24.20981009,24.6062020442857,24.7534135157143,25.2533954314286,24.9870337942857,25.4298106114286,24.86295282,24.9489321471429,25.2371141342857,24.5934560628571,25.0599698142857,25.0214802028571,25.7095986885714,24.8074905085714,25.1400443,25.5869583157143,25.8750817785714,25.69994463,25.7254944757143,24.1418450314286,25.1284162842857,25.2006279371429,25.0886533042857,25.7875001614286,25.58525074,24.8840552885714,25.4945469671429,24.2796159342857,24.4630453114286,24.0322789828571,24.8501245171429,24.5225957185714,24.5852459614286,25.00779782,25.1385878814286,24.9796928757143,24.7820916857143,24.2721217971429,24.6857530157143,23.8239389357143,24.6557836214286,24.4183851685714,24.5817685685714,23.7987787514286,23.8328169285714,23.55392179,23.7453838757143,24.9001648942857,24.1992093542857,24.2791072157143,24.5897273742857,24.2671148628571,25.3396892942857,25.6500911742857,25.7512007142857,26.0236649585714,26.4121069585714,25.2055274128571,25.9011111185714,25.6655163728571,24.9414430814286,25.94051487,25.7177458328571,26.2248792828571,26.1267747657143,26.7336624457143,26.01551901,26.6506581757143,27.2148892914286,26.1062941257143,26.8796566714286,27.2735879771429,26.95064042,26.3598343957143,26.5902944257143,27.0606290157143,26.3538141642857,26.1048536157143,26.0732399628571,25.5692430571429,26.0082914328571,25.2485270057143,25.4585769814286,25.2033114114286,25.0929314785714,24.8096797,25.3589360571429,25.08734676,25.7667404014286,25.0735436957143,24.0338644685714,23.7946263471429,23.6285626557143,23.9967342828571,24.3595211771429,23.34665384,23.87845026,22.97465807,22.9612334214286,23.94710659,24.4569132542857,24.3230595271429,23.8193164642857,23.8137115542857,24.6176475185714,24.3265516171429,24.1348328542857,24.53305236
19,CAUCA,18.5781943414286,19.2391740871429,19.7921920285714,19.7309348157143,19.1715637157143,19.55503898,19.7699528285714,19.4532967042857,18.6743969157143,19.5093252585714,18.9430553728571,19.8960041485714,19.8555045271429,20.0185061357143,19.6156159257143,19.43172622,19.6383653885714,19.3762631728571,19.5858373971429,19.5824650228571,19.0510095614286,19.9263483957143,19.8453659914286,19.2704167542857,19.1319558242857,19.7508520785714,19.6462387357143,20.3185547442857,20.3380516271429,20.11122442,19.9562944428571,19.8585211771429,19.64559109,19.6958744928571,19.7955287485714,19.7820913371429,19.8273762671429,19.8451050114286,19.90370421,19.3561329557143,19.8875563671429,19.4203217657143,19.3159075457143,19.6542765128571,19.06818837,19.1494832142857,19.3040571014286,19.8912889428571,19.12086831,19.4365471114286,19.8567679671429,19.8577680814286,19.7742046885714,20.0162870628571,18.8932278528571,19.4607125471429,19.8323159028571,19.56288733,20.2856450828571,19.8107225685714,19.8257620914286,20.59499592,19.3297698771429,19.3298097571429,19.4320533842857,19.6433635171429,19.6929115557143,19.6613732371429,19.93607447,19.97912239,20.2260704014286,20.0299824528571,19.2320126542857,19.9690902357143,19.4305870514286,20.4409295771429,20.5157266328571,20.4699164985714,20.2180183342857,20.12995324,19.5920739628571,19.9197451514286,21.1101527557143,20.3266746757143,20.7953640285714,20.5688296871429,20.3923787171429,20.5870909228571,20.7154544414286,21.1443772128571,20.8386247314286,20.4248511442857,19.8673683314286,19.9970714614286,19.6765468614286,19.14972478,20.0802305442857,19.7572876814286,20.2882224414286,20.1796584228571,20.2304357714286,20.1665064785714,20.72059818,21.4598720442857,20.7032309328571,20.9029193614286,21.1926063557143,21.0228972471429,20.6871837771429,21.1509946285714,21.6455079942857,21.0118319585714,21.1326947742857,20.7768889442857,20.8248431185714,21.02930349,20.6907681728571,20.6389114057143,20.4395944028571,20.72285678,20.2658681414286,20.3306524614286,19.8137280985714,20.94184003,20.3908479585714,19.5351789814286,19.30284374,19.4994052042857,19.7522518485714,19.8877772071429,19.7668266357143,19.7725782028571,19.0923262842857,19.2822780785714,20.6197577514286,20.9938830285714,20.7782940314286,20.0995441928571,19.5857548971429,20.3448390957143,19.4773610742857,19.9560062742857,19.6680147914286
20,CESAR,25.93603742,26.8376628314286,26.8470336385714,26.6518037771429,27.0435059728571,27.6041129828571,27.0594102185714,26.9442280642857,26.54177708,27.4544197242857,27.51836595,28.1431960814286,28.0465234814286,29.1677250342857,27.9140391485714,27.7964582728571,27.9441942471429,26.7974011614286,27.0066422414286,27.1845318242857,26.8588726114286,28.1715174085714,27.8987340357143,28.03838407,27.8157130542857,28.3449143457143,28.4031825085714,28.9166272357143,29.1517296028571,28.2537801642857,27.4974827171429,27.3947669114286,27.4225188557143,26.7239429357143,27.5281679042857,27.2160381357143,26.2482938571429,26.2258915842857,27.2306991514286,25.7827857442857,25.8581751542857,26.1877441328571,25.9977215757143,26.7632421357143,25.8416649285714,26.3620430942857,26.5998707928571,26.6692596785714,26.1147780257143,26.0535936257143,26.7343107385714,27.0523925,26.5606635671429,27.28852362,25.86168025,26.5053166028571,26.9331440171429,26.6329196228571,27.3337394957143,27.7270757728571,27.5514293785714,28.2558505028571,26.9810671171429,27.5818869628571,27.5078431071429,27.8241975157143,27.7861631542857,27.85101298,28.5943940514286,28.4644318328571,28.3946586485714,27.5831189242857,27.2127402342857,27.9010982314286,27.4797199642857,28.7386338628571,28.8356929771429,28.82659561,28.3362274485714,27.6968020014286,27.6782524385714,28.7291815271429,28.92407465,28.0185313714286,27.94325547,27.5837550585714,28.2441168628571,28.0721991,27.9854706928571,27.6640684257143,27.7230393614286,27.6722529842857,26.6450448642857,27.0278908928571,26.3441318228571,26.2518233628571,27.05806315,25.94112949,26.8437693185714,27.3846868942857,27.7778594528571,27.2278339814286,27.6947211085714,27.4368327642857,27.5620139085714,27.0349450814286,27.0536263285714,27.5863347557143,27.4822104428571,28.3488127671429,28.2537486228571,28.1085053871429,28.5220121442857,28.3263723428571,28.7732738457143,29.6854452185714,28.8895723757143,28.19659669,27.8954711385714,28.5931566514286,27.6673473142857,26.9397247957143,27.2197083285714,28.5684893457143,27.7769263214286,26.9582056928571,27.6102513857143,27.2761795385714,27.00395342,28.1645407557143,28.36485776,27.97100114,27.8415137028571,27.8785988071429,27.3501227957143,27.9495881571429,28.1178704385714,27.5884653085714,26.4870430028571,26.9372335985714,26.7068121285714,27.3355766128571,27.1730387971429
23,CRDOBA,27.0501466228571,28.0762609971429,28.1104865071429,27.85012799,28.0713049842857,28.5573010428571,28.2565772157143,27.9459009714286,27.3008806328571,28.4130763842857,27.75638462,28.9921586685714,29.0108839428571,29.7655133042857,28.8969129342857,28.45864505,28.3229963314286,28.1524676228571,28.1850998785714,28.0544400385714,27.7484267114286,28.3493179342857,27.8643769071429,28.6498683414286,27.9537788328571,28.52967537,28.7911713057143,29.0853481371429,29.1012487471429,28.1530212757143,28.1793593471429,27.8905306157143,27.5842090057143,27.3296094771429,27.97914554,27.4724295942857,27.0538417657143,27.2232955257143,28.2731721357143,27.3222753685714,26.9340781142857,27.40985105,27.3339624557143,27.82183393,26.9412801771429,27.7593206028571,27.6978715671429,27.8416801171429,27.30005592,27.37233311,28.21871764,28.6325600685714,28.15837558,28.2595440914286,27.1127797414286,27.89398486,28.22634335,27.8028357414286,28.7549216185714,28.9419229057143,28.7239930028571,29.0740354771429,27.8726070642857,28.2055464314286,28.19819851,28.8063525257143,28.4743252642857,28.7927292842857,29.2189686814286,29.0754148742857,29.0856611271429,27.9976683957143,27.5001126985714,28.1820695357143,27.7760422957143,29.3039741128571,29.7171442742857,29.41200319,28.2187885185714,27.7428068371429,27.8544597171429,28.5477096214286,29.2942841914286,28.1927238971429,28.4250812014286,28.0512759971429,28.1901053785714,28.1678664757143,28.6296308728571,28.0515871228571,28.5290606685714,28.3859267242857,27.4697465371429,28.0313908614286,27.5246702242857,27.5604641328571,28.0289153457143,27.0841180142857,28.1238899557143,28.7034836028571,28.9451225114286,28.3552830014286,29.3297532957143,29.0814751428571,28.8791095028571,28.5674657914286,28.7389809357143,28.7561744342857,28.7226679385714,29.2348336228571,29.4676042414286,29.0488904457143,29.0693598485714,29.2434657071429,29.2159452357143,29.96992534,29.5673482757143,29.3464963128571,28.9481608228571,29.5833221871429,28.3152433285714,28.37322442,28.3136407128571,29.5263068914286,28.5948095271429,27.6184849171429,28.09459196,28.0154963071429,27.5733083671429,28.7499196742857,28.4163184957143,27.96044279,27.6859067885714,27.9244913757143,28.1883699457143,28.3879465785714,28.3408952128571,27.9387551885714,26.9337484857143,27.5346059828571,27.26447245,27.3492487971429,27.3564289028571
25,CUNDINAMARCA,15.3811588085714,15.4172087442857,15.7351720685714,15.7445515057143,15.4538028842857,15.7540878914286,15.8402283714286,15.8172720671429,15.4350901628571,15.8273101857143,16.3758027028571,16.1160694328571,16.1307896128571,16.3759156,15.7401472771429,15.9365061957143,16.6505465471429,15.88409384,15.8066423028571,15.9565847285714,15.60677789,16.32083346,15.8981164457143,14.7903195785714,15.1300034428571,15.7903014971429,15.2363762857143,15.4958109857143,15.7224101528571,15.6172634314286,15.5123315385714,15.4190013828571,15.1431582742857,15.0860274114286,15.2402290871429,15.2571068071429,15.56151444,15.7058218614286,15.1169385271429,14.8685684985714,15.7155266342857,15.3156719057143,15.4986406171429,15.8706566414286,15.5021137457143,15.2729152771429,15.4672848114286,15.67003258,15.3625789728571,15.5148681314286,15.48644682,14.8013679557143,14.2544968728571,15.9006193571429,15.4984525357143,15.5463574228571,15.3286921457143,16.0447432371429,16.0405434685714,15.5464803042857,16.1456531885714,16.8219677171429,15.9607626285714,15.9860653528571,16.1225533842857,16.2105060628571,16.2123525571429,15.80100298,16.3184862871429,16.5042925885714,16.6112285928571,16.3877025457143,15.9388982671429,15.9186321957143,15.6356023571429,15.6962545571429,15.7195737542857,15.6699492085714,16.2081789657143,16.22172554,15.7324517471429,15.8096164328571,16.6450078871429,15.8055830642857,16.2596122785714,16.0985209014286,15.9165392971429,16.36109254,16.1494184371429,16.2844835885714,16.43647791,16.1602823357143,16.3796702428571,15.82069464,15.7302921457143,15.8397996028571,16.0890368528571,16.3893055457143,16.33461866,15.9504190985714,15.2650013828571,15.93784051,16.1890292028571,16.5414513171429,17.0318305528571,16.1063798642857,16.3359085057143,16.4451858957143,16.5852424085714,17.0933933342857,17.8870182857143,17.4225421457143,18.1914966985714,17.8146908414286,17.7967398271429,17.59226464,17.6049104442857,17.0966979142857,17.3101876085714,17.1775005285714,17.1808535757143,16.2730325871429,16.0839354071429,16.8516664285714,16.84669709,16.0431514728571,15.3393583485714,15.57815705,15.7020464014286,15.7396741514286,16.1284383985714,15.9293218014286,15.5132496771429,15.3319298285714,16.0489775785714,16.4419566742857,15.9711366528571,15.6700478542857,15.6432097971429,16.0383470585714,15.6328011571429,15.8755194342857,15.91870169
27,CHOC,24.7817956642857,26.0094428928571,26.0587199985714,25.8655974285714,25.6234340571429,25.9790324414286,25.85034721,25.5276976957143,24.9957697971429,26.0672090185714,25.3835423242857,26.5290824014286,26.67959962,26.8108420771429,26.2490846928571,25.9981169942857,26.2057053771429,25.9012745385714,26.3827991114286,26.2018603742857,25.8924934442857,26.3661864971429,26.39123531,26.5565729971429,25.8366299371429,26.4040541,26.6063302814286,26.9751467042857,26.89094582,26.3422601157143,26.27516146,25.93563524,25.7295685214286,25.6323417,26.2685501357143,25.72624568,25.48515138,25.6584351885714,26.4762046957143,25.6133208842857,25.5808463242857,25.5729909542857,25.5069939328571,25.8955445385714,25.1529424414286,25.8480694971429,25.6588950285714,25.9787514771429,25.3467728028571,25.2606079028571,26.4150613042857,26.8502241942857,26.5107485,26.1263546842857,25.1331735757143,25.7959525814286,25.7549226342857,25.7245160214286,26.66336783,26.4979136671429,26.2846541557143,26.74981097,25.6454009142857,25.9103371314286,25.8264462328571,26.4162493357143,26.2963822028571,26.5016554828571,26.7392207271429,26.8228694514286,27.0486076942857,26.5631179357143,25.7668352757143,26.4390225285714,25.9441210914286,27.32247608,27.7580250757143,27.4032439357143,26.1826431871429,26.17743047,26.0355755142857,26.4395095814286,27.2257650385714,26.00667863,26.70982406,26.3919236542857,26.5884395871429,26.2914424371429,27.0425774714286,26.7172239971429,27.0297542,26.6751716242857,25.7079477757143,26.2150120585714,25.68174809,25.7707536242857,26.16320847,25.54038515,26.2997875228571,26.7421068442857,27.00653681,26.3095343457143,27.4322124214286,27.5781924757143,26.9421197557143,26.8790313557143,27.5013208585714,26.9413712385714,26.5643353928571,26.9666984328571,27.4681115657143,26.5749213828571,26.7283605257143,26.88166146,26.6658746371429,27.3957970685714,26.9334650728571,27.2465317557143,26.5996658628571,27.0734433471429,26.0912988128571,26.62238255,26.4853699128571,27.8547612714286,26.7460998971429,25.9897153528571,26.0869306371429,26.2845285271429,26.0466319414286,26.7576232957143,26.02602679,25.8782125371429,25.6297581957143,25.8558926128571,26.5268684885714,26.4660018357143,26.4260007428571,26.2412011785714,25.3649318042857,25.9764598014286,25.6975841871429,25.5703764028571,25.7398572642857
41,HUILA,21.4733701014286,22.6097874914286,23.2317478242857,23.0665426528571,22.54889666,22.9716539528571,23.1922087457143,22.5140607457143,21.8264479185714,22.7331539885714,22.1415670814286,22.8744715457143,23.2571112714286,23.59561196,23.0437166842857,22.5741627642857,22.98279651,22.4730632085714,22.6942066128571,22.7595160885714,22.1547394542857,23.0764607228571,23.00419631,22.5616815842857,22.3996142728571,22.95189287,22.6277785542857,23.5941547071429,23.6425901885714,23.3607888157143,23.1697977114286,23.0293435228571,22.9359386557143,22.8942447471429,23.6061921471429,23.40837979,23.28529011,23.44263657,23.68158291,22.7747628285714,23.5665226671429,22.8398864485714,22.4594615042857,22.7333692114286,21.9618362814286,22.2448434571429,22.5643156828571,23.1833112142857,21.9888981257143,22.46718223,22.9933684814286,23.2090565571429,23.1692466585714,23.44355142,21.8082319371429,22.7831502442857,22.92142669,22.5812402314286,23.5881807971429,23.2552314414286,23.1187745185714,24.0582804085714,22.6054521771429,22.7088255271429,22.3856396614286,23.1629974785714,22.7332970528571,22.8346179057143,23.4160057757143,23.5446306585714,23.5653617642857,23.3487274942857,22.6336367671429,23.2773890342857,22.77011953,23.8558945785714,23.6432455014286,23.8233497071429,23.5293791157143,23.4670829228571,22.8332832614286,23.1836656714286,24.4318339771429,23.4955069214286,24.0936376014286,24.1317713642857,24.0006004157143,24.2006227685714,24.7793492428571,25.3147245242857,24.4885089528571,24.6560858628571,23.2071477042857,24.1075270157143,23.6892432457143,22.2948603571429,23.5448505485714,23.1452874642857,23.5645482228571,23.4635710085714,23.8520002042857,23.4596827742857,24.04976976,24.7537756342857,23.7977886971429,24.2924862757143,24.7082762114286,24.5782142771429,24.2214851757143,24.4295660014286,25.0819819185714,24.2580659714286,24.4127421742857,24.17204128,23.9597950085714,24.5429252157143,23.6512351028571,23.4657491071429,23.2513353685714,23.7072963585714,23.05493912,23.3700845114286,22.9305106071429,24.1868855771429,23.4661559142857,22.6130447971429,22.7153826842857,22.6286734457143,22.9771238271429,23.2145343942857,22.8948875528571,23.1022991057143,22.1475290342857,22.4476364328571,23.6891402714286,23.93144202,24.0632849071429,23.2443603371429,22.7788428657143,23.4372338942857,22.7526072714286,23.4506168728571,23.0836386785714
