"id","dept","muni","mpios"
"563","BOYACA","LA VICTORIA","15401"
"564","BOYACA","BUENAVISTA","15109"
"565","CALDAS","MARMATO","17442"
"566","CALDAS","SUPIA","17777"
"567","BOYACA","COPER","15212"
"568","BOYACA","SORACA","15764"
"569","CUNDINAMARCA","SUSA","25779"
"570","RISARALDA","MISTRATO","66456"
"571","CUNDINAMARCA","GUACHETA","25317"
"572","CUNDINAMARCA","FUQUENE","25288"
"573","BOYACA","VIRACACHA","15879"
"574","CALDAS","SALAMINA","17653"
"575","VICHADA","CUMARIBO","99773"
"576","CUNDINAMARCA","CARMEN DE CARUPA","25154"
"577","CUNDINAMARCA","PAIME","25518"
"578","BOYACA","RONDON","15621"
"579","BOYACA","BOYACA","15104"
"580","CALDAS","LA MERCED","17388"
"581","CUNDINAMARCA","LA PALMA","25394"
"582","CHOCO","CANTON DEL SAN PABLO","27135"
"583","BOYACA","PAJARITO","15518"
"584","BOYACA","VENTAQUEMADA","15861"
"585","CUNDINAMARCA","GUADUAS","25320"
"586","CUNDINAMARCA","SAN CAYETANO","25653"
"587","CUNDINAMARCA","TOPAIPI","25823"
"588","BOYACA","RAMIRIQUI","15599"
"589","BOYACA","CIENEGA","15189"
"590","RISARALDA","PUEBLO RICO","66572"
"591","BOYACA","JENESANO","15367"
"592","RISARALDA","QUINCHIA","66594"
"593","BOYACA","NUEVO COLON","15494"
"594","RISARALDA","GUATICA","66318"
"595","CHOCO","TADO","27787"
"596","CALDAS","FILADELFIA","17272"
"597","CUNDINAMARCA","UBATE","25843"
"598","CASANARE","AGUAZUL","85010"
"599","CUNDINAMARCA","LENGUAZAQUE","25407"
"600","BOYACA","TIBANA","15804"
"601","CASANARE","RECETOR","85279"
"602","CASANARE","CHAMEZA","85015"
"603","BOYACA","TURMEQUE","15835"
"604","BOYACA","ZETAQUIRA","15897"
"605","CALDAS","ARANZAZU","17050"
"606","CALDAS","MARULANDA","17446"
"607","CUNDINAMARCA","VILLAGOMEZ","25871"
"608","CALDAS","MARQUETALIA","17444"
"609","CUNDINAMARCA","VILLAPINZON","25873"
"610","CALDAS","MANZANARES","17433"
"611","CUNDINAMARCA","EL PEON","25258"
"612","TOLIMA","MARIQUITA","73443"
"613","TOLIMA","HONDA","73349"
"614","CUNDINAMARCA","CUCUNUBA","25224"
"615","CALDAS","ANSERMA","17042"
"616","TOLIMA","FRESNO","73283"
"617","BOYACA","SAN EDUARDO","15660"
"618","CALDAS","NEIRA","17486"
"619","CUNDINAMARCA","LA PEA","25398"
"620","CUNDINAMARCA","PACHO","25513"
"621","CUNDINAMARCA","SUTATAUSA","25781"
"622","RISARALDA","BELEN DE UMBRIA","66088"
"623","BOYACA","CHINAVITA","15172"
"624","BOYACA","BERBEO","15090"
"625","BOYACA","UMBITA","15842"
"626","CUNDINAMARCA","TAUSA","25793"
"627","CUNDINAMARCA","UTICA","25851"
"628","CHOCO","CONDOTO","27205"
"629","RISARALDA","APIA","66045"
"630","CUNDINAMARCA","CHOCONTA","25183"
"631","CHOCO","ITSMINA","27361"
"632","CUNDINAMARCA","SUESCA","25772"
"633","BOYACA","MIRAFLORES","15455"
"634","CUNDINAMARCA","NIMAIMA","25489"
"635","CUNDINAMARCA","VERGARA","25862"
"636","BOYACA","PAEZ","15514"
"637","CASANARE","OROCUE","85230"
"638","CALDAS","RISARALDA","17616"
"639","BOYACA","PACHAVITA","15511"
"640","BOYACA","GARAGOA","15299"
"641","TOLIMA","FALAN","73270"
"642","CUNDINAMARCA","COGUA","25200"
"643","CALDAS","MANIZALES","17001"
"644","TOLIMA","HERVEO","73347"
"645","CASANARE","TAURAMENA","85410"
"646","CALDAS","SAN JOSE","17665"
"647","CUNDINAMARCA","ZIPAQUIRA","25899"
"648","CUNDINAMARCA","QUEBRADANEGRA","25592"
"649","TOLIMA","PALOCABILDO","73520"
"650","CUNDINAMARCA","NEMOCON","25486"
"651","BOYACA","LA CAPILLA","15380"
"652","CALDAS","PALESTINA","17524"
"653","CALDAS","VITERBO","17877"
"654","CUNDINAMARCA","MACHETA","25426"
"655","TOLIMA","ARMERO","73055"
"656","CUNDINAMARCA","TIBIRITA","25807"
"657","TOLIMA","CASABIANCA","73152"
"658","RISARALDA","SANTUARIO","66687"
"659","CUNDINAMARCA","SUPATA","25777"
"660","CUNDINAMARCA","NOCAIMA","25491"
"661","BOYACA","CAMPOHERMOSO","15135"
"662","BOYACA","TENZA","15798"
"663","CUNDINAMARCA","VILLETA","25875"
"664","CHOCO","NOVITA","27491"
"665","CUNDINAMARCA","SESQUILE","25736"
"666","CUNDINAMARCA","SUBACHOQUE","25769"
"667","CALDAS","BELALCAZAR","17088"
"668","CALDAS","CHINCHINA","17174"
"669","CASANARE","MANI","85139"
"670","RISARALDA","LA CELIA","66383"
"671","CUNDINAMARCA","LA VEGA","25402"
"672","BOYACA","GUATEQUE","15322"
"673","RISARALDA","MARSELLA","66440"
"674","CALDAS","VILLAMARIA","17873"
"675","CUNDINAMARCA","MANTA","25436"
"676","TOLIMA","VILLAHERMOSA","73870"
"677","BOYACA","MACANAL","15425"
"678","BOYACA","SUTATENZA","15778"
"679","CUNDINAMARCA","GACHANCIPA","25295"
"680","CUNDINAMARCA","SASAIMA","25718"
"681","CUNDINAMARCA","SAN FRANCISCO","25658"
"682","CASANARE","MONTERREY","85162"
"683","CUNDINAMARCA","TOCANCIPA","25817"
"684","RISARALDA","BALBOA","66075"
"685","CUNDINAMARCA","CHAGUANI","25168"
"686","BOYACA","SOMONDOCO","15761"
"687","CUNDINAMARCA","TABIO","25785"
"688","CHOCO","SAN JOSE DEL PALMAR","27660"
"689","BOYACA","ALMEIDA","15022"
"690","CUNDINAMARCA","GUATAVITA","25326"
"691","VALLE DEL CAUCA","EL AGUILA","76243"
"692","BOYACA","GUAYATA","15325"
"693","CASANARE","SABANALARGA","85300"
"694","CUNDINAMARCA","CAJICA","25126"
"695","CUNDINAMARCA","SAN JUAN DE RIO SECO","25662"
"696","RISARALDA","SANTA ROSA DE CABAL","66682"
"697","CUNDINAMARCA","VIANI","25867"
"698","CUNDINAMARCA","SOPO","25758"
"699","BOYACA","SAN LUIS DE GACENO","15667"
"700","TOLIMA","LIBANO","73411"
"701","TOLIMA","LERIDA","73408"
"702","CUNDINAMARCA","ALBAN","25019"
"703","CUNDINAMARCA","GACHETA","25297"
"704","CUNDINAMARCA","GUAYABAL DE  SIQUIMA","25328"
"705","BOYACA","SANTA MARIA","15690"
"706","TOLIMA","AMBALEMA","73030"
"707","RISARALDA","LA VIRGINIA","66400"
"708","CUNDINAMARCA","GUASCA","25322"
"709","CUNDINAMARCA","EL ROSAL","25260"
"710","BOYACA","CHIVOR","15236"
"711","CUNDINAMARCA","CHIA","25175"
"712","TOLIMA","MURILLO","73461"
"713","RISARALDA","PEREIRA","66001"
"714","CUNDINAMARCA","TENJO","25799"
"715","CUNDINAMARCA","BITUIMA","25095"
"716","CUNDINAMARCA","FACATATIVA","25269"
"717","RISARALDA","DOSQUEBRADAS","66170"
"718","CUNDINAMARCA","UBALA","25839"
"719","VALLE DEL CAUCA","ANSERMANUEVO","76041"
"720","META","PUERTO GAITAN","50568"
"721","CUNDINAMARCA","MADRID","25430"
"722","VALLE DEL CAUCA","EL CAIRO","76246"
"723","CUNDINAMARCA","COTA","25214"
"724","CUNDINAMARCA","BELTRAN","25086"
"725","CUNDINAMARCA","ANOLAIMA","25040"
"726","SANTAFE DE BOGOTA D.C","SANTAFE DE BOGOTA D.C.","11001"
"727","CUNDINAMARCA","JUNIN","25372"
"728","VALLE DEL CAUCA","CARTAGO","76147"
"729","CHOCO","SIPI","27745"
"730","CUNDINAMARCA","LA CALERA","25377"
"731","VALLE DEL CAUCA","ARGELIA","76054"
"732","CUNDINAMARCA","ZIPACON","25898"
"733","TOLIMA","VENADILLO","73861"
"734","CUNDINAMARCA","QUIPILE","25596"
"735","TOLIMA","SANTA ISABEL","73686"
"736","CUNDINAMARCA","FUNZA","25286"
"737","CUNDINAMARCA","GACHALA","25293"
"738","CUNDINAMARCA","GAMA","25299"
"739","CUNDINAMARCA","BOJACA","25099"
"740","CUNDINAMARCA","UBALA","25839"
"741","CUNDINAMARCA","PULI","25580"
"742","CUNDINAMARCA","CACHIPAY","25123"
"743","VALLE DEL CAUCA","ULLOA","76845"
"744","CUNDINAMARCA","TENA","25797"
"745","CUNDINAMARCA","PARATEBUENO","25530"
"746","CUNDINAMARCA","MOSQUERA","25473"
"747","TOLIMA","ANZOATEGUI","73043"
"748","VALLE DEL CAUCA","VERSALLES","76863"
"749","QUINDIO","FILANDIA","63272"
"750","CASANARE","VILLANUEVA","85440"
"751","QUINDIO","SALENTO","63690"
"752","VALLE DEL CAUCA","TORO","76823"
"753","TOLIMA","ALVARADO","73026"
"754","CUNDINAMARCA","LA MESA","25386"
"755","VALLE DEL CAUCA","ALCALA","76020"
"756","CUNDINAMARCA","FOMEQUE","25279"
"757","META","BARRANCA DE UPIA","50110"
"758","QUINDIO","CIRCASIA","63190"
"759","TOLIMA","IBAGUE","73001"
"760","CUNDINAMARCA","CHOACHI","25181"
"761","CUNDINAMARCA","SAN ANTONIO DEL TEQUENDAMA","25645"
"762","CUNDINAMARCA","JERUSALEN","25368"
"763","CUNDINAMARCA","MEDINA","25438"
"764","QUINDIO","QUIMBAYA","63594"
"765","CUNDINAMARCA","SOACHA","25754"
"766","CUNDINAMARCA","ANAPOIMA","25035"
"767","TOLIMA","PIEDRAS","73547"
"768","CUNDINAMARCA","APULO","25599"
"769","VALLE DEL CAUCA","OBANDO","76497"
"770","CUNDINAMARCA","EL COLEGIO","25245"
"771","CUNDINAMARCA","TOCAIMA","25815"
"772","CUNDINAMARCA","GUATAQUI","25324"
"773","TOLIMA","CAJAMARCA","73124"
"774","VALLE DEL CAUCA","LA UNION","76400"
"775","QUINDIO","MONTENEGRO","63470"
"776","QUINDIO","ARMENIA","63001"
"777","VALLE DEL CAUCA","EL DOVIO","76250"
"778","VALLE DEL CAUCA","LA VICTORIA","76403"
"779","CUNDINAMARCA","UBAQUE","25841"
"780","CUNDINAMARCA","GRANADA","25312"
"781","QUINDIO","CALARCA","63130"
"782","CHOCO","EL LITORAL DEL SAN JUAN","27250"
"783","CUNDINAMARCA","SIBATE","25740"
"784","META","SAN JUANITO","50686"
"785","VALLE DEL CAUCA","ROLDANILLO","76622"
"786","QUINDIO","LA TEBAIDA","63401"
"787","CUNDINAMARCA","VIOTA","25878"
"788","CUNDINAMARCA","SILVANIA","25743"
"789","TOLIMA","COELLO","73200"
"790","VALLE DEL CAUCA","ZARZAL","76895"
"791","CUNDINAMARCA","CHIPAQUE","25178"
"792","VALLE DEL CAUCA","SEVILLA","76736"
"793","META","EL CALVARIO","50245"
"794","CUNDINAMARCA","CAQUEZA","25151"
"795","CUNDINAMARCA","NARIO","25483"
"796","META","CABUYARO","50124"
"797","VALLE DEL CAUCA","BOLIVAR","76100"
"798","CUNDINAMARCA","GIRARDOT","25307"
"799","VALLE DEL CAUCA","CAICEDONIA","76122"
"800","QUINDIO","CORDOBA","63212"
"801","QUINDIO","BUENAVISTA","63111"
"802","META","RESTREPO","50606"
"803","CUNDINAMARCA","UNE","25845"
"804","META","PUERTO LOPEZ","50573"
"805","CUNDINAMARCA","AGUA DE DIOS","25001"
"806","CUNDINAMARCA","PASCA","25535"
"807","CUNDINAMARCA","FUSAGASUGA","25290"
"808","TOLIMA","ROVIRA","73624"
"809","CUNDINAMARCA","QUETAME","25594"
"810","CUNDINAMARCA","TIBACUY","25805"
"811","QUINDIO","PIJAO","63548"
"812","CUNDINAMARCA","RICAURTE","25612"
"813","CUNDINAMARCA","FOSCA","25281"
"814","CUNDINAMARCA","NILO","25488"
"815","QUINDIO","GENOVA","63302"
"816","VALLE DEL CAUCA","BUGALAGRANDE","76113"
"817","TOLIMA","RONCESVALLES","73622"
"818","TOLIMA","SAN LUIS","73678"
"819","META","VILLAVICENCIO","50001"
"820","CUNDINAMARCA","GUTIERREZ","25339"
"821","META","CUMARAL","50226"
"822","TOLIMA","FLANDES","73275"
"823","CUNDINAMARCA","ARBELAEZ","25053"
"824","TOLIMA","VALLE DE SAN JUAN","73854"
"825","VALLE DEL CAUCA","TRUJILLO","76828"
"826","TOLIMA","MELGAR","73449"
"827","TOLIMA","ICONONZO","73352"
"828","CUNDINAMARCA","GUAYABETAL","25335"
"829","TOLIMA","SUAREZ","73770"
"830","VALLE DEL CAUCA","BUENAVENTURA","76109"
"831","CUNDINAMARCA","PANDI","25524"
"832","TOLIMA","CARMEN DE APICALA","73148"
"833","VALLE DEL CAUCA","ANDALUCIA","76036"
"834","TOLIMA","ESPINAL","73268"
"835","TOLIMA","GUAMO","73319"
"836","META","ACACIAS","50006"
"837","CUNDINAMARCA","SAN BERNARDO","25649"
"838","VALLE DEL CAUCA","RIOFRIO","76616"
"839","VALLE DEL CAUCA","TULUA","76834"
"840","VALLE DEL CAUCA","SAN PEDRO","76670"
"841","TOLIMA","CUNDAY","73226"
"842","VALLE DEL CAUCA","DARIEN","76126"
"843","TOLIMA","ORTEGA","73504"
"844","CUNDINAMARCA","VENECIA","25506"
"845","TOLIMA","SAN ANTONIO","73675"
"846","VALLE DEL CAUCA","YOTOCO","76890"
"847","META","GUAMAL","50318"
"848","CUNDINAMARCA","CABRERA","25120"
"849","VALLE DEL CAUCA","BUGA","76111"
"850","GUAINIA","INIRIDA","94001"
"851","TOLIMA","CHAPARRAL","73168"
"852","TOLIMA","PURIFICACION","73585"
"853","META","SAN LUIS DE CUBARRAL","50223"
"854","META","SAN CARLOS DE GUAROA","50680"
"855","TOLIMA","VILLARRICA","73873"
"856","TOLIMA","SALDAA","73671"
"857","TOLIMA","COYAIMA","73217"
"858","META","CASTILLA LA NUEVA","50150"
"859","VALLE DEL CAUCA","DAGUA","76233"
"860","META","SAN MARTIN","50689"
"861","VALLE DEL CAUCA","RESTREPO","76606"
"862","VALLE DEL CAUCA","VIJES","76869"
"863","VALLE DEL CAUCA","GUACARI","76318"
"864","TOLIMA","PRADO","73563"
"865","VALLE DEL CAUCA","GINEBRA","76306"
"866","HUILA","COLOMBIA","41206"
"867","VALLE DEL CAUCA","LA CUMBRE","76377"
"868","VALLE DEL CAUCA","EL CERRITO","76248"
"869","TOLIMA","DOLORES","73236"
"870","GUAINIA","CACAHUAL","94886"
"871","VALLE DEL CAUCA","PALMIRA","76520"
"872","TOLIMA","RIOBLANCO","73616"
"873","META","EL DORADO","50270"
"874","GUAINIA","BARRANCO MINAS","94343"
"875","TOLIMA","NATAGAIMA","73483"
"876","META","LA URIBE","50370"
"877","META","LEJANIAS","50400"
"878","META","EL CASTILLO","50251"
"879","VALLE DEL CAUCA","YUMBO","76892"
"880","TOLIMA","ATACO","73067"
"881","META","GRANADA","50313"
"882","VALLE DEL CAUCA","CALI","76001"
"883","META","MESETAS","50330"
"884","META","FUENTE DE ORO","50287"
"885","TOLIMA","ALPUJARRA","73024"
"886","VALLE DEL CAUCA","PRADERA","76563"
"887","META","PUERTO LLERAS","50577"
"888","VALLE DEL CAUCA","CANDELARIA","76130"
"889","META","MAPIRIPAN","50325"
"890","HUILA","VILLAVIEJA","41872"
"891","HUILA","AIPE","41016"
"892","VALLE DEL CAUCA","FLORIDA","76275"
"893","TOLIMA","PLANADAS","73555"
"894","VALLE DEL CAUCA","JAMUNDI","76364"
"895","META","SAN JUAN DE ARAMA","50683"
"896","CAUCA","PUERTO TEJADA","19573"
"897","CAUCA","MIRANDA","19455"
"898","HUILA","BARAYA","41078"
"899","CAUCA","PADILLA","19513"
"900","CAUCA","LOPEZ","19418"
"901","HUILA","NEIVA","41001"
"902","CAUCA","CALOTO","19142"
"903","CAUCA","CORINTO","19212"
"904","META","VISTAHERMOSA","50711"
"905","HUILA","TELLO","41799"
"906","CAUCA","SANTANDER DE QUILICHAO","19698"
"907","META","PUERTO RICO","50590"
"908","CAUCA","BUENOS AIRES","19110"
"909","CAUCA","TORIBIO","19821"
"910","GUAINIA","PUERTO COLOMBIA","94884"
"911","HUILA","SANTA MARIA","41676"
"912","CAUCA","TIMBIQUI","19809"
"913","HUILA","PALERMO","41524"
"914","CAUCA","SUAREZ","19780"
"915","CAUCA","PAEZ","19517"
"916","HUILA","TERUEL","41801"
"917","CAUCA","JAMBALO","19364"
"918","CAUCA","CALDONO","19137"
"919","CAUCA","TIMBIQUI","19809"
"920","CAQUETA","SAN VICENTE DEL CAGUAN","18753"
"921","CAUCA","MORALES","19473"
"922","HUILA","IQUIRA","41357"
"923","HUILA","RIVERA","41615"
"924","GUAVIARE","SAN JOSE DEL GUAVIARE","95001"
"925","CAUCA","EL TAMBO","19256"
"926","META","PUERTO CONCORDIA","50450"
"927","CAUCA","PIENDAMO","19548"
"928","CAUCA","SILVIA","19743"
"929","CAUCA","CAJIBIO","19130"
"930","HUILA","NATAGA","41483"
"931","HUILA","CAMPOALEGRE","41132"
"932","CAUCA","GUAPI","19318"
"933","HUILA","YAGUARA","41885"
"934","HUILA","ALGECIRAS","41020"
"935","HUILA","TESALIA","41797"
"936","NARIO","SANTA BARBARA","52696"
"937","CAUCA","INZA","19355"
"938","META","LA MACARENA","50350"
"939","NARIO","EL CHARCO","52250"
"940","HUILA","HOBO","41349"
"941","CAUCA","TOTORO","19824"
"942","NARIO","MOSQUERA","52473"
"943","NARIO","LA TOLA","52390"
"944","CAUCA","POPAYAN","19001"
"945","HUILA","GIGANTE","41306"
"946","HUILA","LA PLATA","41396"
"947","GUAINIA","SAN FELIPE","94883"
"948","NARIO","OLAYA  HERRERA","52490"
"949","CAUCA","TIMBIO","19807"
"950","HUILA","PAICOL","41518"
"951","NARIO","FRANCISCO PIZARRO","52520"
"952","CAUCA","SOTARA","19760"
"953","CAUCA","PURACE","19585"
"954","CAUCA","ARGELIA","19050"
"955","HUILA","AGRADO","41013"
"956","CAQUETA","PUERTO RICO","18592"
"957","CAUCA","PATIA","19532"
"958","GUAINIA","PANA PANA","94887"
"959","HUILA","PITAL","41548"
"960","CAUCA","ROSAS","19622"
"961","HUILA","GARZON","41298"
"962","NARIO","ROBERTO PAYAN","52621"
"963","CAUCA","LA SIERRA","19392"
"964","CAQUETA","EL DONCELLO","18247"
"965","GUAVIARE","EL RETORNO","95025"
"966","HUILA","LA ARGENTINA","41378"
"967","CAUCA","BALBOA","19075"
"968","HUILA","TARQUI","41791"
"969","NARIO","MAGUI","52427"
"970","HUILA","OPORAPA","41503"
"971","NARIO","LEIVA","52405"
"972","CAUCA","LA VEGA","19397"
"973","CAQUETA","FLORENCIA","18001"
"974","HUILA","SALADOBLANCO","41660"
"975","HUILA","GUADALUPE","41319"
"976","HUILA","SAN AGUSTIN","41668"
"977","HUILA","ALTAMIRA","41026"
"978","HUILA","ISNOS","41359"
"979","NARIO","TUMACO","52835"
"980","CAUCA","BOLIVAR","19100"
"981","HUILA","ELIAS","41244"
"982","VAUPES","PAPUNAUA","97777"
"983","HUILA","SUAZA","41770"
"984","CAUCA","SAN SEBASTIAN","19693"
"985","HUILA","TIMANA","41807"
"986","CAUCA","ALMAGUER","19022"
"987","GUAVIARE","CALAMAR","95015"
"988","CAUCA","MERCADERES","19450"
"989","HUILA","PITALITO","41551"
"990","NARIO","POLICARPA","52540"
"991","CAUCA","SANTA ROSA","19701"
"992","NARIO","EL ROSARIO","52256"
"993","HUILA","ACEVEDO","41006"
"994","CAQUETA","EL PAUJIL","18256"
"995","GUAVIARE","MIRAFLORES","95200"
"996","HUILA","PALESTINA","41530"
"997","CAQUETA","LA MONTAITA","18410"
"998","NARIO","CUMBITARA","52233"
"999","NARIO","BARBACOAS","52079"
"1000","CAQUETA","BELEN DE LOS ANDAQUIES","18094"
"1001","CAUCA","FLORENCIA","19290"
"1002","NARIO","LOS ANDES","52418"
"1003","NARIO","SAN PABLO","52693"
"1004","VAUPES","CARURU","97161"
"1005","NARIO","TAMINANGO","52786"
"1006","NARIO","COLON","52203"
"1007","NARIO","LA UNION","52399"
"1008","NARIO","SAN LORENZO","52687"
"1009","GUAINIA","LA GUADALUPE","94885"
"1010","VAUPES","MITU","97001"
"1011","NARIO","LA CRUZ","52378"
"1012","NARIO","BELEN","52083"
"1013","CAQUETA","MORELIA","18479"
"1014","NARIO","LA LLANADA","52385"
"1015","NARIO","SAN PEDRO DE CARTAGO","52694"
"1016","NARIO","SAN BERNARDO","52685"
"1017","NARIO","ALBAN","52019"
"1018","NARIO","ARBOLEDA","52051"
"1019","NARIO","SAMANIEGO","52678"
"1020","CAUCA","PIAMONTE","19533"
"1021","NARIO","EL TAMBO","52260"
"1022","CAQUETA","SAN JOSE DEL FRAGUA","18610"
"1023","NARIO","CHACHAGUI","52240"
"1024","NARIO","EL TABLON","52258"
"1025","NARIO","LINARES","52411"
"1026","NARIO","RICAURTE","52612"
"1027","NARIO","BUESACO","52110"
"1028","NARIO","SANTA CRUZ","52699"
"1029","NARIO","LA FLORIDA","52381"
"1030","CAQUETA","CARTAGENA DEL CHAIRA","18150"
"1031","PUTUMAYO","MOCOA","86001"
"1032","NARIO","SANDONA","52683"
"1033","CAQUETA","VALPARAISO","18860"
"1034","CAQUETA","MILAN","18460"
"1035","CAQUETA","ALBANIA","18029"
"1036","NARIO","PASTO","52001"
"1037","NARIO","PROVIDENCIA","52565"
"1038","NARIO","MALLAMA","52435"
"1039","NARIO","ANCUYA","52036"
"1040","PUTUMAYO","SAN FRANCISCO","86755"
"1041","NARIO","TUQUERRES","52838"
"1042","NARIO","CONSACA","52207"
"1043","PUTUMAYO","SIBUNDOY","86749"
"1044","NARIO","GUAITARILLA","52320"
"1045","CAQUETA","CURILLO","18205"
"1046","NARIO","YACUANQUER","52885"
"1047","PUTUMAYO","COLON","86219"
"1048","CAQUETA","SOLANO","18756"
"1049","NARIO","TANGUA","52788"
"1050","PUTUMAYO","SANTIAGO","86760"
"1051","NARIO","IMUES","52354"
"1052","NARIO","SAPUYES","52720"
"1053","NARIO","FUNES","52287"
"1054","CAQUETA","SOLITA","18785"
"1055","NARIO","CUMBAL","52227"
"1056","NARIO","OSPINA","52506"
"1057","PUTUMAYO","VILLAGARZON","86885"
"1058","VAUPES","YAVARATE","97889"
"1059","NARIO","GUACHUCAL","52317"
"1060","PUTUMAYO","PUERTO GUZMAN","86571"
"1061","NARIO","ILES","52352"
"1062","NARIO","PUPIALES","52585"
"1063","NARIO","GUALMATAN","52323"
"1064","PUTUMAYO","ORITO","86320"
"1065","NARIO","ALDANA","52022"
"1066","NARIO","CONTADERO","52210"
"1067","NARIO","PUERRES","52573"
"1068","NARIO","CUASPUD","52224"
"1069","NARIO","CORDOBA","52215"
"1070","NARIO","IPIALES","52356"
"1071","NARIO","POTOSI","52560"
"1072","VAUPES","PACOA","97511"
"1073","PUTUMAYO","PUERTO CAICEDO","86569"
"1074","PUTUMAYO","PUERTO LEGUIZAMO","86573"
"1075","PUTUMAYO","PUERTO ASIS","86568"
"1076","PUTUMAYO","VALLE DEL GUAMUEZ","86865"
"1077","PUTUMAYO","SAN MIGUEL","86757"
"1078","AMAZONAS","MIRITI-PARANA","91460"
"1079","VAUPES","TARAIRA","97666"
"1080","AMAZONAS","PUERTO SANTANDER","91669"
"1081","AMAZONAS","LA CHORRERA","91405"
"1082","AMAZONAS","LA PEDRERA","91407"
"1083","AMAZONAS","EL ENCANTO","91263"
"1084","AMAZONAS","TARAPACA","91798"
"1085","AMAZONAS","LETICIA","91001"
"1086","AMAZONAS","PUERTO NARIO","91540"
"1087","SUCRE","EL ROBLE","70233"
"1088","LA GUAJIRA","LA JAGUA DEL PILAR","44420"
"1089","LA GUAJIRA","ALBANIA","44035"
"1090","MAGDALENA","ZONA BANANERA","47980"
"1091","MAGDALENA","ALGARROBO","47030"
"1092","MAGDALENA","CONCORDIA","47205"
"1093","MAGDALENA","ZAPAYAN","47960"
"1094","BOLIVAR","ARROYOHONDO","13062"
"1095","MAGDALENA","SABANAS DE SAN ANGEL","47660"
"1096","MAGDALENA","NUEVA GRANADA","47460"
"1097","MAGDALENA","SANTA BARBARA DE PINTO","47720"
"1099","GUAINIA","MAPIRIPANA","94663"
"1100","GUAINIA","MORICHAL","94888"
"1101","AMAZONAS","LA VICTORIA","91430"
"1102","AMAZONAS","PUERTO ARICA","91536"
"1103","AMAZONAS","PUERTO ALEGRIA","91530"
"1104","NARIO","EL PEOL","52254"
"1105","NARIO","NARIO","52480"
"1106","CAUCA","SUCRE","19785"
"1107","CAUCA","VILLA RICA","19845"
"1108","SUCRE","TOLU","70820"
"1109","SUCRE","COVEAS","70221"
"1110","CALDAS","LA DORADA","17380"
"1111","CALDAS","NORCASIA","17495"
"1112","CALDAS","SAMANA","17662"
"1113","CHOCO","MEDIO ATRATO","27425"
"1114","CHOCO","ATRATO","27050"
"1115","CHOCO","RIO QUITO","27600"
"1116","CHOCO","CERTEGUI","27160"
"1117","CHOCO","UNION PANAMERICANA","27810"
"1118","CHOCO","MEDIO BAUDO","27430"
"1119","CHOCO","RIO IRO","27580"
"1120","CHOCO","MEDIO SAN JUAN","27450"
"1121","CHOCO","BELEN DE BAJIRA","27086"
"1122","ANTIOQUIA","MUTATA","05480"
"1123","CHOCO","CARMEN DEL DARIEN","27150"
"4","ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA","SAN ANDRES","88001"
"1098","ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA","SANTA CATALINA","88000"
"3","ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA","PROVIDENCIA","88564"
